TeamId,TeamName,SubmissionDate,Score
2556190,"Kaori Momoki","2018-12-21 01:08:45",1.91401
2566394,TA,"2019-01-12 05:25:21",2.44690
2582239,coffee,"2019-01-12 05:27:08",1.78541
2571976,mansion_brothers,"2019-01-12 06:55:19",0.65222
2582239,coffee,"2019-01-12 07:20:08",1.77757
2582239,coffee,"2019-01-12 07:20:24",1.61464
2582239,coffee,"2019-01-12 07:22:40",1.01180
2582239,coffee,"2019-01-12 07:35:43",0.79968
2566394,TA,"2019-01-12 07:40:59",2.43372
2571976,mansion_brothers,"2019-01-12 07:44:32",0.62404
2635678,Fisheye,"2019-01-12 07:44:42",0.79614
2582239,coffee,"2019-01-12 07:46:56",0.77757
2571976,mansion_brothers,"2019-01-12 07:49:23",0.61615
2635678,Fisheye,"2019-01-12 07:50:42",0.75884
2635628,CAN,"2019-01-12 07:51:19",1.27549
2635678,Fisheye,"2019-01-12 07:54:37",0.75067
2635678,Fisheye,"2019-01-12 08:30:58",0.71911
2571976,mansion_brothers,"2019-01-12 08:39:22",0.44561
2635578,Fathers,"2019-01-12 09:42:26",1.65849
2635647,Queen,"2019-01-12 12:57:47",0.93117
2635647,Queen,"2019-01-12 13:05:33",0.87563
2635628,CAN,"2019-01-12 14:55:53",1.19794
2635578,Fathers,"2019-01-12 16:08:20",0.88391
2635578,Fathers,"2019-01-12 16:22:10",0.88391
2635578,Fathers,"2019-01-12 16:31:25",0.88391
2635578,Fathers,"2019-01-12 16:45:10",0.88208
2596018,"Toshiki Saito","2019-01-12 18:39:48",0.58234
2635647,Queen,"2019-01-12 22:03:04",0.73702
2635647,Queen,"2019-01-12 22:13:36",0.72911
2635628,CAN,"2019-01-13 02:36:18",0.69854
2635628,CAN,"2019-01-13 09:38:33",0.58264
2635628,CAN,"2019-01-13 13:35:59",0.52429
2635628,CAN,"2019-01-14 14:50:18",0.46393
2596018,"Toshiki Saito","2019-01-14 18:09:04",0.46604
2635678,Fisheye,"2019-01-15 01:23:13",0.71460
2635678,Fisheye,"2019-01-15 01:38:15",0.69185
2635678,Fisheye,"2019-01-15 02:06:45",0.66246
2635678,Fisheye,"2019-01-15 04:04:10",0.64513
2635647,Queen,"2019-01-15 06:38:26",0.33266
2596018,"Toshiki Saito","2019-01-15 15:20:43",0.46575
2571976,mansion_brothers,"2019-01-17 13:01:00",0.39856
2571976,mansion_brothers,"2019-01-17 13:15:27",0.36475
