Id,PRICE
49108,760061.0695019
49109,1042946.3699632998
49110,747547.0318585761
49111,550567.7696357011
49112,1506128.4704137454
49113,489177.27851921547
49114,505445.28856319806
49115,519456.748098446
49116,672924.8424104216
49117,827257.1431138458
49118,406533.51071967604
49119,677209.9237155633
49120,487508.14002461074
49121,422315.3459619083
49122,667973.427821339
49123,457077.9122947787
49124,225608.04406052383
49125,452415.0254908293
49126,985274.4866828937
49127,794594.8629509531
49128,769583.8825771055
49129,405368.9785289302
49130,344515.4782439176
49131,257024.2064638076
49132,187218.3790265423
49133,355278.05548719293
49134,423994.1192494721
49135,660513.7394164107
49136,1080792.1958565908
49137,344515.4782439176
49138,1090599.4400238525
49139,922421.5210698782
49140,676838.0233488292
49141,1498792.2527551954
49142,1262109.6155682981
49143,1384803.228774546
49144,1201963.529284169
49145,814829.4787198253
49146,362108.4333214905
49147,466092.96632729465
49148,558964.9516791721
49149,572220.4235129138
49150,1231068.2337672338
49151,492803.3501751012
49152,412935.4819772118
49153,417191.4666401991
49154,240745.5535947984
49155,373968.0137538961
49156,1499432.7427041994
49157,490013.98960425175
49158,676012.309137102
49159,650908.7658637625
49160,623228.0209348369
49161,726495.848808691
49162,1121447.8306942228
49163,950773.3801583884
49164,472509.09138959995
49165,574986.205620798
49166,333915.8513055168
49167,642540.6187785537
49168,903752.4848352629
49169,1025524.3600393418
49170,746817.3618024727
49171,616719.5667598253
49172,1266044.4224478395
49173,800631.4571738538
49174,1406524.8563869
49175,497973.67897294706
49176,497973.67897294706
49177,689345.4572275889
49178,367900.6199301056
49179,358151.9645832834
49180,666181.9604811248
49181,380042.67547062185
49182,1515626.7541990813
49183,1402495.8072946197
49184,782466.8200590742
49185,833745.4013020162
49186,391532.5706720015
49187,537518.5321278682
49188,464956.43198177207
49189,432119.2185488909
49190,671406.8903543603
49191,301815.16702355014
49192,186124.60388560584
49193,365840.5609923204
49194,257275.32926402977
49195,421517.0428537163
49196,170464.27394444123
49197,353202.4349886465
49198,483242.1748910356
49199,180222.06776206556
49200,408149.5486042129
49201,180222.06776206556
49202,435508.3715847442
49203,926257.8864035639
49204,673870.1634568059
49205,208347.91102387078
49206,761035.8934719106
49207,246936.4970316173
49208,840489.7201689378
49209,323168.60220497655
49210,1827413.9154785015
49211,1012587.3015683835
49212,1038119.6873230765
49213,1203725.5082446365
49214,555394.1720307535
49215,607454.7524699569
